name,code
agentofmehrunesdagon,1265
arenthiaguerrilla,1246
attuneddremora,1249
bedlam,1288
bitterfishwitch,1258
blacksoulgem,1277
blackwoodalchemist,1289
bladesdefender,1290
bladesflanker,1291
bladesguardian,1256
bladesstalwart,1292
blastfromoblivion,1237
blindmothpriest,1279
bloodcrazeddaedroth,1225
bloodyhandchef,1244
brotherhoodsupect,1282
brotherhoodvampire,1260
cityguard,1293
clannfearrunt,1294
daedricincursion,1295
deaddrop,1245
defenseofbruma,1240
determinedsupplier,1250
diverockfall,1296
doomedadventurer,1297
dremoraadept,1238
dremoraarcher,1268
dremorachanneler,1253
dusteaterskirmisher,1259
elixirofpotency,1298
emperorsattendant,1243
fadedwraith,1285
fingersofthemountain,1273
flamingbreath,1257
forcesofdestruction,1227
freshstart,1275
giantslaughterfish,1299
greatsigilstone,1270
hannibaltravel,1284
invasionmarauder,1274
invasionparty,1241
invasionscout,1254
invasionvanguard,1283
jauffre,1255
keeperofthegates,1234
kynreevechampion,1262
lordofthearena,1247
mankarcamoran,1230
marauderchieftain,1300
martinseptim,1278
mehrunesdagonsflayer,1267
mehrunesdagonsseducer,1301
miscarcandlich,1248
modrynoreyn,1271
mountainlion,1302
mute,1261
mythicdawnacolyte,1303
mythicdawninformer,1269
mythicdawnzealot,1304
oblivioninvasion,1286
occultritemaster,1276
outlandpatrol,1305
paintedworld,1231
siegecrawler,1226
sigilkeeper,1252
sunkenone,1306
thecrisisbegins,1239
thegrayfox,1266
theultimateheist,1263
threefeatherwarchief,1242
trustysword,1307
umariltheunfeathered,1308
unexpectedarrival,1281
unfinishedbusiness,1309
unicorn,1236
valkynazmage,1264
whodunit,1280
widowdaedra,1235
wildboar,1251
willothewisp,1310
worldlywanderer,1311
xivilaiwarlord,1229
