name,code
abandonedimperfect,754
abeceannavigator,145
abnurtharn,1135
adoringfan,217
aelashuntmate,566
aelathehuntress,570
afflictedalit,255
agelessautomaton,218
agentofmehrunesdagon,1265
ahnassi,400
alanddivided,521
alchemy,1076
aldmeripatriot,329
aldorathedaring,748
aldruhnarmsmaster,885
alduin,552
aldvelothiassassin,847
alfiqconjurer,1148
alfiqillusionist,1178
alikrsurvivalist,257
allenabenoch,401
almalexia,784
almalexiasdisciple,848
alphawolf,330
altarofdespair,456
altmerdragonknight,936
altmerflameslinger,1040
ambitioushireling,906
ancano,555
ancestorsbattleaxe,549
ancestraldead,849
ancientlookout,535
angrygrahl,73
anighttoremember,562
anxileelinvader,1
apexpredator,1179
apexwolf,930
apprenticenecromancer,1222
arcanaeumlibrarian,746
arcaneenchanter,586
archcanonsaryoni,797
archeinelite,74
archeinvenomtongue,76
archersgambit,560
arenthiaguerrilla,1246
arenthiaswindler,2
arise,1180
arrest,554
arrowintheknee,3
arrowstorm,332
artaeumsavant,333
ascendedsleeper,802
ashberserker,886
ashlanderpunisher,960
ashlanderzealot,887
ashoppressor,827
ashpiercer,776
ashservant,146
aspectofhircine,782
assassinbeetle,1080
assassinsbow,258
assassinsritual,658
assembledconduit,753
assembledsanitizer,695
assembledsentry,730
assembledtitan,710
astrid,478
attuneddremora,1249
aundaeclansorcerer,789
auridonpaladin,334
auroransentry,335
awakeneddreamer,828
awakenedimperfect,751
ayrenn,403
ayrenndominionqueen,1081
ayrennschosen,1082
baandaribruiser,4
baandariopportunist,1073
backalleyfootpad,1085
backalleyrogue,740
balisrawarrider,850
baliwogtidecrawlerssmokedbaliwogleg,987
balmoracaptain,907
balmorapuppeteer,824
balmoraspymaster,147
banditringleader,604
bangkoraibutcher,259
barbas,666
bardedguar,219
barilzarstinkering,867
baronoftear,148
barrowstalker,723
barter,622
battlefieldscrounger,571
battlemagesonslaught,659
battleofchalmankeep,1083
battlerageorc,260
battlereeveofdusk,452
beatpeace,1181
bedevilingscamp,986
bedlam,1288
belligerentgiant,261
berneclannightstalker,816
berserkerofthepale,572
bettynetch,851
bewilderingspeed,1084
bishopofthehour,1051
bitterfishwitch,1258
blackhandmessenger,758
blackmail,336
blackmarshcenturion,1087
blackmarshprodigy,1086
blackmarshwarden,77
blackreachrebuilder,667
blackroseherbalist,78
blacksapprotector,5
blacksoulgem,1277
blackwoodalchemist,1289
blackwooddistiller,927
blackwormnecromancer,79
blackwormneophyte,1138
bladesdefender,1290
bladesflanker,1291
bladesguardian,1256
bladeslookout,568
bladesstalwart,1292
blastbones,1147
blastfromoblivion,1237
bleakcoasttroll,760
blessingofthegrove,985
blightedalit,262
blightedwerebat,829
blindmothpriest,1279
bloodcrazeddaedroth,1225
blooddragon,263
bloodlineoutcast,852
bloodmagiclord,80
bloodpactmessenger,496
bloodsacrament,830
bloodsorceress,486
bloodyhandchef,1244
blueclawmatron,819
boglurcher,264
bolvynvenim,799
bonearmor,1182
bonebow,265
bonecolossus,81
bonewalker,853
boneweaver,1169
brassarquebus,752
brassilisk,704
brellachcommander,1018
bretonconjurer,149
brilliantexperiment,150
bringerofnightmares,587
brotherhoodsanctuary,500
brotherhoodslayer,467
